"Concentration","time","se","cfu","source","bac","abx"
32,4,NA,1049.11701548078,"model","201kt7","tet"
32,6,NA,73.2965609953629,"model","201kt7","tet"
0,0,12583.0573921179,111666.666666667,"Data","drp","ery"
0,1,332916.40592397,1033333.33333333,"Data","drp","ery"
0,2,2929732.63854116,9333333.33333333,"Data","drp","ery"
0,3,15275252.3165195,46666666.6666667,"Data","drp","ery"
0,4,202258085.952907,321666666.666667,"Data","drp","ery"
0,6,278388218.141501,1.15e+09,"Data","drp","ery"
0.25,0,16072.7512683216,136666.666666667,"Data","drp","ery"
0.25,1,160727.512683216,633333.333333333,"Data","drp","ery"
0.25,2,1322875.6555323,5e+06,"Data","drp","ery"
0.25,3,7549834.43527075,2.3e+07,"Data","drp","ery"
0.25,4,24664414.3115812,136666666.666667,"Data","drp","ery"
0.25,6,409267638.593623,8e+08,"Data","drp","ery"
0.5,0,53463.3831078181,128333.333333333,"Data","drp","ery"
0.5,1,264575.131106459,650000,"Data","drp","ery"
0.5,2,160727.512683216,2133333.33333333,"Data","drp","ery"
0.5,3,2645751.31106459,1.3e+07,"Data","drp","ery"
0.5,4,29297326.3854116,86666666.6666667,"Data","drp","ery"
0.5,6,160727512.683216,1033333333.33333,"Data","drp","ery"
1,0,43684.4747402705,131666.666666667,"Data","drp","ery"
1,1,175594.229214212,383333.333333333,"Data","drp","ery"
1,2,305505.046330389,1866666.66666667,"Data","drp","ery"
1,3,4092676.38593622,10500000,"Data","drp","ery"
1,4,16072751.2683216,51666666.6666667,"Data","drp","ery"
1,6,284312035.153866,633333333.333333,"Data","drp","ery"
2,0,42524.5027405769,126666.666666667,"Data","drp","ery"
2,1,202072.594216369,433333.333333333,"Data","drp","ery"
2,2,350000,1150000,"Data","drp","ery"
2,3,1040832.99973307,4333333.33333333,"Data","drp","ery"
2,4,3122498.9991992,1.7e+07,"Data","drp","ery"
2,6,57662812.973354,2.95e+08,"Data","drp","ery"
4,0,47258.1562625261,141666.666666667,"Data","drp","ery"
4,1,150000,350000,"Data","drp","ery"
4,2,256580.071972344,866666.666666667,"Data","drp","ery"
4,3,458257.569495584,1300000,"Data","drp","ery"
4,4,3605551.27546399,6e+06,"Data","drp","ery"
4,6,58949130.612758,1.25e+08,"Data","drp","ery"
8,0,71821.5380880508,153333.333333333,"Data","drp","ery"
8,1,267690.74196418,388333.333333333,"Data","drp","ery"
8,2,104083.299973307,516666.666666667,"Data","drp","ery"
8,3,419324.854180304,766666.666666667,"Data","drp","ery"
8,4,332916.40592397,1566666.66666667,"Data","drp","ery"
8,6,26269437.248128,34833333.3333333,"Data","drp","ery"
16,0,37527.7674973257,133333.333333333,"Data","drp","ery"
16,1,189296.944860009,433333.333333333,"Data","drp","ery"
16,2,57735.0269189626,366666.666666667,"Data","drp","ery"
16,3,86602.5403784439,4e+05,"Data","drp","ery"
16,4,375277.674973257,833333.333333333,"Data","drp","ery"
16,6,3911947.51157698,5033333.33333333,"Data","drp","ery"
32,0,38188.1307912987,86666.6666666667,"Data","drp","ery"
32,1,146486.631927058,291666.666666667,"Data","drp","ery"
32,2,132570.735835629,265000,"Data","drp","ery"
32,3,525198.375219624,666666.666666667,"Data","drp","ery"
32,4,72111.0255092798,370000,"Data","drp","ery"
32,6,350000,750000,"Data","drp","ery"
0,0,NA,111666.666666667,"model","drp","ery"
0,1,NA,908163.924513371,"model","drp","ery"
0,2,NA,7347963.423076,"model","drp","ery"
0,3,NA,57080691.9975181,"model","drp","ery"
0,4,NA,338987812.637469,"model","drp","ery"
0,6,NA,1063940723.64245,"model","drp","ery"
0.25,0,NA,136666.666666667,"model","drp","ery"
0.25,1,NA,841795.30771392,"model","drp","ery"
0.25,2,NA,5165311.7223969,"model","drp","ery"
0.25,3,NA,30973213.825979,"model","drp","ery"
0.25,4,NA,163510514.196994,"model","drp","ery"
0.25,6,NA,846468219.430166,"model","drp","ery"
0.5,0,NA,128333.333333333,"model","drp","ery"
0.5,1,NA,674120.764215033,"model","drp","ery"
0.5,2,NA,3531659.50802743,"model","drp","ery"
0.5,3,NA,18247955.414126,"model","drp","ery"
0.5,4,NA,88058399.8829379,"model","drp","ery"
